protein	reaction	direction
B7MUB9	23704	nan
B7LY36	23704	nan
C4ZTX2	23704	nan
B1XBM8	23704	nan
A7ZZL5	23704	nan
Q0TI88	23704	nan
Q8FHU5	23704	nan
B1ITH7	23704	nan
P0A7I7	23704	nan
B7N493	23704	nan
B6I9Z2	23704	nan
B1LH12	23704	nan
A4WAY6	23704	nan
B7LS01	23704	nan
Q4QNX8	23704	nan
A5UAU5	23704	nan
A5UG14	23704	nan
P44571	23704	nan
Q2SA07	23704	nan
C4K8Q4	23704	nan
Q0I4A3	23704	nan
B0UUP7	23704	nan
B5XS13	23704	nan
A6T7Y5	23704	nan
Q65SC0	23704	nan
A6VWW9	23704	nan
P57863	23704	nan
Q6D5U5	23704	nan
P51618	23704	nan
B4EW08	23704	nan
A6V055	23704	nan
B7V7R1	23704	nan
Q02SL4	23704	nan
Q9HWY1	23704	nan
Q1IFL5	23704	nan
C3K2R5	23704	nan
A5VXW5	23704	nan
B0KL75	23704	nan
Q88QH1	23704	nan
B1J3G0	23704	nan
Q889Q3	23704	nan
A1SSA8	23704	nan
Q21F24	23704	nan
Q57NU9	23704	nan
Q5PCY8	23704	nan
P66031	23704	nan
P66030	23704	nan
A1S528	23704	nan
B8EF62	23704	nan
A3D367	23704	nan
A6WLV9	23704	nan
A9KXC4	23704	nan
Q12P94	23704	nan
Q080N2	23704	nan
B0TL40	23704	nan
A3QFR4	23704	nan
Q8EDD1	23704	nan
A8H5U9	23704	nan
A4Y5N5	23704	nan
B8CQ07	23704	nan
A0KYF8	23704	nan
A8FTP1	23704	nan
Q0HHF8	23704	nan
Q0HTR2	23704	nan
A1RL35	23704	nan
B1KLM0	23704	nan
B2U0G9	23704	nan
Q31ZX1	23704	nan
Q32GQ6	23704	nan
Q0T5C0	23704	nan
P0A7I9	23704	nan
Q3Z127	23704	nan
C5BS80	23704	nan
C4LE64	23704	nan
Q9KSJ3	23704	nan
Q87NE7	23704	nan
Q8DAG7	23704	nan
Q8D2J0	23704	nan
Q9PBZ3	23704	nan
Q87D69	23704	nan
Q8ZEF0	23704	nan
Q66AI6	23704	nan
A3MZA2	18457	nan
A3MZA2	23704	nan
B3H0P8	18457	nan
B3H0P8	23704	nan
B0BTN8	18457	nan
B0BTN8	23704	nan
P50855	18457	nan
P50855	23704	nan
A0KHV1	18457	nan
A4SKH7	18457	nan
Q9L6K8	18457	nan
Q1LSL6	18457	nan
Q7VQQ4	18457	nan
B8D8L7	18457	nan
P57167	18457	nan
Q8KA55	18457	nan
B8D6X1	18457	nan
P59556	18457	nan
A8APS7	18457	nan
A7MP95	18457	nan
A7ZRS4	18457	nan
B7UIV5	18457	nan
B7MAC3	18457	nan
B7LGI1	18457	nan
P0A7J1	18457	nan
B5YR87	18457	nan
B7NJQ5	18457	nan
B7N0J6	18457	nan
B7LZJ1	18457	nan
C4ZQV9	18457	nan
B1XG46	18457	nan
A8A4J8	18457	nan
A1AFX0	18457	nan
Q0TD60	18457	nan
Q8FDH9	18457	nan
B1ISB5	18457	nan
P0A7J0	18457	18458
B7ND35	18457	nan
B6I413	18457	nan
B1LF38	18457	nan
Q1R6T4	18457	nan
C5BHH8	18457	nan
A4WEI2	18457	nan
B2VGK1	18457	nan
B7LQC3	18457	nan
Q4QMD5	18457	nan
A5UDW2	18457	nan
A5UHR8	18457	nan
P44866	18457	nan
C4K8P2	18457	nan
Q0I132	18457	nan
B0UX44	18457	nan
B5XU43	18457	nan
A6TE29	18457	nan
Q65W81	18457	nan
P57940	18457	nan
Q6D8S3	18457	nan
C6D9P9	18457	nan
Q02008	18457	nan
Q7N0C8	18457	nan
P51962	18457	nan
Q6LIW0	18457	nan
B4EW41	18457	nan
Q9HWX4	18457	nan
Q88QG4	18457	nan
Q882G0	18457	nan
Q3IKS6	18457	nan
B5F690	18457	nan
A9MPW6	18457	nan
Q57JR5	18457	nan
B5FHS9	18457	nan
B5QZ31	18457	nan
B5REF3	18457	nan
B4TI45	18457	nan
B4T665	18457	nan
Q5PMU5	18457	nan
A9N5X2	18457	nan
C0PYW8	18457	nan
B5BG06	18457	nan
B4TVS9	18457	nan
P66033	18457	nan
P66032	18457	nan
A8GJU0	18457	nan
B8E3W7	18457	nan
A3DAC1	18457	nan
A6WHL6	18457	nan
A9KVB7	18457	nan
Q07WC1	18457	nan
B0TMY9	18457	nan
A3Q8W5	18457	nan
Q8EKF2	18457	nan
A8GYS3	18457	nan
A4Y1N7	18457	nan
B8CH19	18457	nan
A0KRF9	18457	nan
A8G1K1	18457	nan
Q0HP01	18457	nan
Q0I0H0	18457	nan
A1RPZ7	18457	nan
B1KNY2	18457	nan
B2U1F0	18457	nan
Q31WZ1	18457	nan
Q32BS1	18457	nan
Q0T0L7	18457	nan
P0A7J2	18457	nan
Q3YXK0	18457	nan
Q2NWD7	18457	nan
C4LDD2	18457	nan
B7VT10	18457	nan
A5F159	18457	nan
Q9KKP2	18457	nan
C3LWX2	18457	nan
P16448	18457	nan
Q87GR5	18457	nan
Q8D485	18457	nan
Q7MFR0	18457	nan
Q8D2W5	18457	nan
A1JQV2	18457	nan
A7FE82	18457	nan
Q1C377	18457	nan
B2K2H0	18457	nan
Q8ZI56	18457	nan
A9R7D2	18457	nan
Q1CMD1	18457	nan
A4THU2	18457	nan
Q665V6	18457	nan
B1JM30	18457	nan
P57533	21868	nan
Q8K9A4	21868	nan
P57534	17845	nan
Q8K9A3	17845	nan
P50853	21868	nan
P50853	17845	nan
Q89AB0	21868	nan
Q89AB0	17845	nan
P25539	21868	21869
P25539	17845	17846
P44326	21868	nan
P44326	17845	nan
P57250	14357	nan
P57250	17237	nan
Q8K9Z1	14357	nan
Q8K9Z1	17237	nan
P0AG42	14357	nan
P0AG42	17237	nan
P0AG41	14357	nan
P0AG41	17237	nan
P0AG40	14357	nan
P0AG40	17237	nan
P44957	14357	nan
P44957	17237	nan
P22990	14357	nan
P22990	17237	nan
P0AG43	14357	nan
P0AG43	17237	nan
Q7MGG3	23436	nan
Q7MGG3	55020	nan
Q7MGG3	23704	nan
P30176	23436	nan
P30176	55020	nan
Q323Z6	23436	nan
Q323Z6	55020	nan
Q0T6G3	23436	nan
Q0T6G3	55020	nan
Q83LU8	23436	nan
Q83LU8	55020	nan
Q3Z3Y7	23436	nan
Q3Z3Y7	55020	nan
P0AF94	39975	nan
P0AF94	40671	nan
P0AF93	39975	nan
P0AF93	40671	nan
Q7CP78	39975	nan
Q7CP78	40671	nan
P0AF95	39975	nan
P0AF95	40671	nan
P00335	20053	nan
A7ZNY5	56816	nan
B7UFH8	56816	nan
B7MF76	56816	nan
B7LAI5	56816	nan
Q8XE94	56816	nan
B5YWV3	56816	nan
B7NMX6	56816	nan
B7MX26	56816	nan
B7M510	56816	nan
C4ZU12	56816	nan
B1X860	56816	nan
A8A225	56816	nan
A1AD20	56816	nan
Q0TFS8	56816	nan
Q8FFT8	56816	nan
B1IYA8	56816	nan
P33022	56816	nan
B7N5C5	56816	nan
B6I8L3	56816	nan
B1LKQ9	56816	nan
Q1R9R0	56816	nan
B7LVC3	56816	nan
Q31YW9	56816	nan
Q32ER0	56816	nan
Q0T2W2	56816	nan
Q83KF1	56816	nan
Q3Z044	56816	nan
P0A946	43756	nan
P0A945	43756	nan
P0A944	43756	nan
P0A944	45948	nan
Q7VP85	43756	nan
P44305	43756	nan
Q8ZJW4	43756	nan
P0A947	43756	nan
P0A949	43752	nan
P0A948	43752	nan
Q9I2H6	43752	nan
P0A950	43752	nan
P13857	43760	nan
Q6FCH4	37087	nan
B7H1U1	37087	nan
B7I9V4	37087	nan
B2I330	37087	nan
B0VMU3	37087	nan
A3M659	37087	nan
B0V6E8	37087	nan
A3N2T4	37087	nan
B3H2N3	37087	nan
B0BRW2	37087	nan
A6VLD6	37087	nan
A0KHZ9	37087	nan
A4SKK7	37087	nan
Q0A8I9	37087	nan
B4RYE6	37087	nan
B3PGP3	37087	nan
A8AIT5	37087	nan
Q484J7	37087	nan
A7MF19	37087	nan
A7ZJQ2	37087	nan
B7MGU2	37087	nan
B7LCB8	37087	nan
P0AEI5	37087	nan
B5YSC6	37087	nan
B7NNR8	37087	nan
B7MQT8	37087	nan
B7M7B0	37087	nan
B1X7X6	37087	nan
A7ZY97	37087	nan
A1A974	37087	nan
Q0TJL3	37087	nan
Q8FJK5	37087	nan
B1IXD2	37087	nan
P0AEI4	37087	nan
B7NAI1	37087	nan
B6I8F5	37087	nan
B1LMD0	37087	nan
Q1RE90	37087	nan
B7LMZ9	37087	nan
B0U054	37087	nan
A7NA32	37087	nan
A0Q4U9	37087	nan
Q0BNJ1	37087	nan
Q7VKK2	37087	nan
Q2SBG3	37087	nan
Q0I4D9	37087	nan
B0US28	37087	nan
Q31G14	37087	nan
B5XYQ3	37087	nan
A6T6T1	37087	nan
Q5X765	37087	nan
A5IGM4	37087	nan
Q5ZXP6	37087	nan
Q5WYL5	37087	nan
Q65QA6	37087	nan
A1U488	37087	nan
Q60CM4	37087	nan
Q9CKN9	37087	nan
Q6D3N6	37087	nan
B4F137	37087	nan
Q48FA7	37087	nan
Q15UT4	37087	nan
A6VA58	37087	nan
Q02I76	37087	nan
Q9I541	37087	nan
Q1I6D1	37087	nan
Q4KHA5	37087	nan
A4XT11	37087	nan
A5VZS9	37087	nan
Q3KH22	37087	nan
B0KTL0	37087	nan
Q88NL0	37087	nan
B1JD88	37087	nan
Q87Y01	37087	nan
Q4ZWM9	37087	nan
Q4FRH4	37087	nan
Q1QA11	37087	nan
A5WGF2	37087	nan
Q21FE3	37087	nan
B5F0X7	37087	nan
A9MIP6	37087	nan
Q57RA8	37087	nan
B5FPB9	37087	nan
B5QXV6	37087	nan
B5R840	37087	nan
B4TCV0	37087	nan
B4T0B2	37087	nan
Q5PGP7	37087	nan
A9MSQ9	37087	nan
B5BBX8	37087	nan
B4TQZ6	37087	nan
Q8Z861	37087	nan
Q8ZQM1	37087	nan
A1S2T9	37087	nan
A3D958	37087	nan
A6WIP6	37087	nan
A9KZF7	37087	nan
Q8EA37	37087	nan
A4Y2Z8	37087	nan
A0L1C8	37087	nan
Q0HEK0	37087	nan
Q0HZF3	37087	nan
A1RNY7	37087	nan
B2TV93	37087	nan
Q323V7	37087	nan
Q0T6C8	37087	nan
Q83LT1	37087	nan
Q3Z3U9	37087	nan
B4SQX0	37087	nan
B2FP10	37087	nan
A4VKC4	37087	nan
A5F514	37087	nan
Q9KNW0	37087	nan
Q8D4N8	37087	nan
Q7MG88	37087	nan
Q8PJ10	37087	nan
Q4UWF3	37087	nan
B0RR62	37087	nan
Q8P7P7	37087	nan
Q3BRJ5	37087	nan
Q2P0S4	37087	nan
B2SWC0	37087	nan
Q5GXP5	37087	nan
P57276	23252	nan
Q8K9W3	23252	nan
Q89AS4	23252	nan
P00452	23252	nan
P43754	23252	nan
P37426	23252	nan
P57275	23252	nan
Q8K9W4	23252	nan
Q89AS5	23252	nan
P69925	23252	nan
P69924	23252	nan
P43755	23252	nan
P37427	23252	nan
P39452	23252	nan
Q08698	23252	nan
P37146	23252	nan
P17424	23252	nan
P50854	20772	nan
P57212	20772	nan
Q8KA22	20772	nan
Q89AX1	20772	nan
P0AFU8	20772	nan
P45273	20772	nan
Q01993	20772	nan
P51961	20772	nan
P0AFU9	20772	nan
Q889Q6	26152	nan
Q885J3	26152	nan
Q01994	26152	nan
Q93E92	26152	nan
Q6F6V3	26152	nan
B7GUW3	26152	nan
B7I251	26152	nan
B2I1Q0	26152	nan
B0VPU0	26152	nan
A3MA34	26152	nan
B0V9X5	26152	nan
A3MZA3	26152	nan
B3H0P9	26152	nan
B0BTN9	26152	nan
P50856	26152	nan
A6VPE9	26152	nan
Q5E6Z8	26152	nan
B5FBF8	26152	nan
Q8G9G4	26152	nan
B6EI99	26152	nan
Q0ABQ4	26152	nan
C1DLH8	26152	nan
Q7VRI2	26152	nan
Q494E6	26152	nan
B8D9N6	26152	nan
Q9ZNM0	26152	nan
Q8K9A6	26152	nan
B8D7Y8	26152	nan
Q89AB1	26152	nan
A8AK39	26152	nan
Q485J2	26152	nan
B6J943	26152	nan
B6J134	26152	nan
A9KC67	26152	nan
A9NCD4	26152	nan
Q83DP8	26152	nan
A7MFG5	26152	nan
A7ZIG8	26152	nan
B7UJN8	26152	nan
B7MD73	26152	nan
B7L649	26152	nan
P61717	26152	nan
B5Z3R9	26152	nan
B7NJ82	26152	nan
B7MQD0	26152	nan
B7M3Q4	26152	nan
C4ZTH2	26152	nan
B1XF03	26152	nan
A7ZX67	26152	nan
Q0TKM6	26152	nan
P61715	26152	nan
B1J034	26152	nan
P61714	26152	nan
B7N8W7	26152	nan
B6HZL6	26152	nan
B1LJG5	26152	nan
C5BCH5	26152	nan
A4W787	26152	nan
B2VHS9	26152	nan
B7LMH2	26152	nan
B8F5Z8	26152	nan
Q7VM44	26152	nan
Q4QKN2	26152	nan
A5UCB8	26152	nan
A5UF15	26152	nan
P45149	26152	nan
Q2S9R9	26152	nan
A1WVG1	26152	nan
Q0I3N6	26152	nan
B0UU22	26152	nan
Q31FT1	26152	nan
Q5QVF0	26152	nan
B5Y0X6	26152	nan
A6T5E8	26152	nan
Q65TX7	26152	nan
P57869	26152	nan
Q6D848	26152	nan
C6DB33	26152	nan
Q7N0I9	26152	nan
P51963	26152	nan
Q6LU12	26152	nan
B4EU19	26152	nan
Q15W98	26152	nan
A6V049	26152	nan
B7V7Q5	26152	nan
Q02SM0	26152	nan
Q9HWX5	26152	nan
Q1IFM0	26152	nan
A4XZ35	26152	nan
A5VXW0	26152	nan
B0KL70	26152	nan
Q88QH6	26152	nan
Q3II28	26152	nan
A1SUU5	26152	nan
A1AWF3	26152	nan
Q21F19	26152	nan
B5EXF8	26152	nan
Q57SE7	26152	nan
B5FKS2	26152	nan
B5QTG5	26152	nan
B5R6R8	26152	nan
B4T8Q8	26152	nan
B4SWQ9	26152	nan
Q5PFS8	26152	nan
C0Q7U2	26152	nan
B5BDB5	26152	nan
B4TM97	26152	nan
P66039	26152	nan
P66038	26152	nan
A8GAN7	26152	nan
A1S4C0	26152	nan
B8E6W6	26152	nan
A3D7C5	26152	nan
A6WR47	26152	nan
A9KYJ1	26152	nan
Q12Q43	26152	nan
Q086C4	26152	nan
B0TJZ0	26152	nan
A3QC62	26152	nan
Q8EBP3	26152	nan
A8H1Q5	26152	nan
A4Y961	26152	nan
B8CJN2	26152	nan
A8FSR4	26152	nan
Q0HL88	26152	nan
Q0HXJ1	26152	nan
A1RHD5	26152	nan
B1KJK4	26152	nan
B2U4L8	26152	nan
Q325I6	26152	nan
Q32JG9	26152	nan
P61718	26152	nan
Q3Z4Z4	26152	nan
Q2NV98	26152	nan
B4SJC0	26152	nan
B2FNL3	26152	nan
A4VHT4	26152	nan
C5BS85	26152	nan
C4LAE1	26152	nan
A5CWS3	26152	nan
A7MWU0	26152	nan
Q9KPU4	26152	nan
Q87RU4	26152	nan
Q8DF99	26152	nan
Q7MN53	26152	nan
Q8D291	26152	nan
Q8PPD6	26152	nan
Q4UQU3	26152	nan
B0RVD2	26152	nan
Q8PCM7	26152	nan
Q3BXI0	26152	nan
Q2NZ91	26152	nan
B2SNW4	26152	nan
B2I8Q5	26152	nan
Q9PES4	26152	nan
B0U4K3	26152	nan
Q87AS7	26152	nan
A1JNS3	26152	nan
A7FLE8	26152	nan
Q1C4I4	26152	nan
B2K6T3	26152	nan
Q8ZC41	26152	nan
A9R2J8	26152	nan
Q1CL92	26152	nan
A4TPG7	26152	nan
Q66DV8	26152	nan
B1JIE2	26152	nan
P36999	42900	nan
Q6FF50	24140	nan
Q7VQP0	24140	nan
Q83CW6	24140	nan
P63179	24140	nan
P63178	24140	nan
P63177	24140	nan
Q7VP36	24140	nan
P44906	24140	nan
Q9CJP3	24140	nan
Q6D127	24140	nan
Q7MYU6	24140	nan
Q6LM40	24140	nan
Q9HUM8	24140	nan
Q88DE7	24140	nan
Q87VK2	24140	nan
Q8Z182	24140	nan
Q8ZKA2	24140	nan
Q8EAG8	24140	nan
P63180	24140	nan
Q9KNY2	24140	nan
Q87L11	24140	nan
Q8DCT8	24140	nan
Q7MH13	24140	nan
Q8PM64	24140	nan
Q8PAG5	24140	nan
Q9PC00	24140	nan
Q87D65	24140	nan
Q8ZIV4	24140	nan
A3N1B8	42628	nan
B3GXZ9	42628	nan
B0BQ52	42628	nan
A6VKU5	42628	nan
A8AIQ7	42628	nan
A7MF48	42628	nan
A7ZJS7	42628	nan
B7UMV1	42628	nan
B7MHG3	42628	nan
B7LD52	42628	nan
Q8X6Q5	42628	nan
B5YSF1	42628	nan
B7NPF5	42628	nan
B7MQW3	42628	nan
B7M7D4	42628	nan
C4ZY31	42628	nan
B1X800	42628	nan
A7ZYG2	42628	nan
A1A998	42628	nan
Q0TJI9	42628	nan
Q8FJE7	42628	nan
B1IWR3	42628	nan
P75817	42628	nan
B7NAK5	42628	nan
B6I8H9	42628	nan
B1LN12	42628	nan
Q1RE66	42628	nan
C5BED3	42628	nan
A4W8M4	42628	nan
B7LN23	42628	nan
B8F5M9	42628	nan
Q7VNM5	42628	nan
Q4QLU9	42628	nan
A5UDB0	42628	nan
A5UI99	42628	nan
P44083	42628	nan
D0L1G3	42628	nan
Q65VK8	42628	nan
Q9CPH1	42628	nan
Q6D3S2	42628	nan
C6DEQ3	42628	nan
Q7N6G6	42628	nan
B4ET17	42628	nan
B5F101	42628	nan
A9MIM3	42628	nan
Q57R80	42628	nan
B5FPZ6	42628	nan
B5QYK4	42628	nan
B4T0E3	42628	nan
Q5PGN2	42628	nan
A9N824	42628	nan
C0PXN9	42628	nan
B5BBV5	42628	nan
B4TRN5	42628	nan
Q8Z841	42628	nan
Q8ZQJ5	42628	nan
A8GCB4	42628	nan
A1S382	42628	nan
B8E5Q5	42628	nan
A3D0Y0	42628	nan
A6WS34	42628	nan
A9L1I5	42628	nan
Q087X5	42628	nan
B0TUZ2	42628	nan
A3QB25	42628	nan
Q8EI67	42628	nan
A8H8Q9	42628	nan
A4Y9Y4	42628	nan
A0L0G4	42628	nan
Q0HM20	42628	nan
Q0HRR5	42628	nan
A1RGE6	42628	nan
B2TUM0	42628	nan
Q323P2	42628	nan
Q32ID7	42628	nan
Q0T8K2	42628	nan
Q83S14	42628	nan
Q3Z3S5	42628	nan
A5F0U5	42628	nan
Q9KL20	42628	nan
C3LWJ3	42628	nan
Q8D4B4	42628	nan
Q7MFU0	42628	nan
D3UZL8	42628	nan
D3VBF7	42628	nan
A1JM74	42628	nan
A7FK27	42628	nan
Q1CAC8	42628	nan
B2K9X0	42628	nan
D0JIM5	42628	nan
Q8ZGG1	42628	nan
A9R4V6	42628	nan
Q1CGA8	42628	nan
A4TN73	42628	nan
Q66CN7	42628	nan
B1JRJ4	42628	nan
Q6F847	42908	nan
B7H018	42908	nan
B7I675	42908	nan
B2HTF7	42908	nan
B0VKL3	42908	nan
B0V5N2	42908	nan
A0KGG9	42908	nan
A4SRC5	42908	nan
Q0VP26	42908	nan
Q5E320	42908	nan
B5FAG4	42908	nan
B6EKM3	42908	nan
Q0A8Y4	42908	nan
F2GA29	42908	nan
F5ZEI8	42908	nan
B3PL62	42908	nan
Q1QX18	42908	nan
A8ANZ1	42908	nan
Q47WQ1	42908	nan
A7MQZ8	42908	nan
A5EXR9	42908	nan
Q8XED8	42908	nan
A1AEX2	42908	nan
Q0TE74	42908	nan
Q8FEG6	42908	nan
P55135	42908	nan
Q1R7Q7	42908	nan
C5B8X6	42908	nan
A4WDX1	42908	nan
B2VFZ2	42908	nan
E1SSZ4	42908	nan
Q14IC3	42908	nan
Q2A275	42908	nan
A0Q5J5	42908	nan
Q0BKU7	42908	nan
Q5NGX1	42908	nan
Q7VKU9	42908	nan
Q4QNK7	42908	nan
P44643	42908	nan
E1W218	42908	nan
Q2SL27	42908	nan
E1V4F9	42908	nan
Q0I127	42908	nan
Q31DJ1	42908	nan
Q5R111	42908	nan
B5XV15	42908	nan
A6TD57	42908	nan
Q5X5A8	42908	nan
A5IBU7	42908	nan
Q5ZVI4	42908	nan
Q5WW81	42908	nan
Q65W13	42908	nan
F2JTX5	42908	nan
A6VUQ2	42908	nan
A1U2U9	42908	nan
F6CY50	42908	nan
Q606W5	42908	nan
Q3JCY2	42908	nan
Q9CJX3	42908	nan
Q6D178	42908	nan
C6DDJ9	42908	nan
P55136	42908	nan
Q7N839	42908	nan
Q6LMS7	42908	nan
B4EUF2	42908	nan
Q48FH7	42908	nan
Q02I93	42908	nan
Q9I525	42908	nan
Q1IDL9	42908	nan
Q4K898	42908	nan
Q3K8E9	42908	nan
Q88MB9	42908	nan
Q885Y8	42908	nan
Q3IDM6	42908	nan
Q4ZQ44	42908	nan
Q4FUU5	42908	nan
Q1QDU2	42908	nan
A1SSB8	42908	nan
Q57KF9	42908	nan
Q5PEJ4	42908	nan
Q8Z446	42908	nan
Q8ZME1	42908	nan
A1S4D3	42908	nan
B8E8S1	42908	nan
A3D7B5	42908	nan
A6WR37	42908	nan
A9KYI1	42908	nan
Q12PZ8	42908	nan
Q086B4	42908	nan
B0TK00	42908	nan
Q8EBQ3	42908	nan
A8H1S1	42908	nan
A4Y952	42908	nan
B8CJP2	42908	nan
A0KU76	42908	nan
A8FSS4	42908	nan
Q0HL77	42908	nan
Q0HXI0	42908	nan
A1RHE4	42908	nan
B1KPU0	42908	nan
Q31XK5	42908	nan
Q32CD0	42908	nan
Q0T1Q1	42908	nan
Q83QD5	42908	nan
Q3YY71	42908	nan
B4SRK6	42908	nan
B2FPX2	42908	nan
C4LBR5	42908	nan
A5CXB2	42908	nan
B7VK72	42908	nan
A7MTS9	42908	nan
A5F5I8	42908	nan
Q9KPC1	42908	nan
C3LQZ5	42908	nan
Q87LP5	42908	nan
Q8DC67	42908	nan
Q7MHP7	42908	nan
Q8PMU6	42908	nan
Q4USG1	42908	nan
Q8PB48	42908	nan
Q3BVV1	42908	nan
Q2P4L7	42908	nan
Q5H1Q8	42908	nan
Q9PAY7	42908	nan
Q87BR3	42908	nan
A1JJR0	42908	nan
Q6F8N1	42720	nan
B7GY18	42720	nan
B7I636	42720	nan
B2HXD3	42720	nan
B0VSM4	42720	nan
A3M851	42720	nan
B0VEE9	42720	nan
A3MZW0	42720	nan
B3H123	42720	nan
B0BUF3	42720	nan
A6VPC2	42720	nan
A0KNF1	42720	nan
A4SJQ7	42720	nan
Q0VSS9	42720	nan
Q5E7M3	42720	nan
B5FA72	42720	nan
B6END5	42720	nan
Q0A769	42720	nan
C1DFL6	42720	nan
Q1LSK2	42720	nan
Q7VQM8	42720	nan
Q493U3	42720	nan
P57463	42720	nan
Q8K9G7	42720	nan
Q89AF1	42720	nan
Q057J5	42720	nan
B3PLQ4	42720	nan
Q1QSY2	42720	nan
A8AQ68	42720	nan
Q47YJ3	42720	nan
B6J802	42720	nan
B6IZD5	42720	nan
A9KGE6	42720	nan
A9N8M5	42720	nan
Q83BY4	42720	nan
A7MIM8	42720	nan
A5EXB6	42720	nan
A7ZS75	42720	nan
B7UJ72	42720	nan
B7MBU8	42720	nan
B7LHP2	42720	nan
P0C0R8	42720	nan
B5YS68	42720	nan
B7NKP6	42720	nan
B7N363	42720	nan
B7M085	42720	nan
C4ZSR8	42720	nan
B1XGY9	42720	nan
A8A4Z3	42720	nan
A1AG82	42720	nan
Q0TCT1	42720	nan
P0C0R9	42720	nan
B1IQU4	42720	nan
P0C0R7	42720	nan
B7NDG3	42720	nan
B6I1Q2	42720	nan
B1LFS9	42720	nan
Q1R6F9	42720	nan
C5BFB0	42720	nan
A4WEZ0	42720	nan
B2VGT0	42720	nan
B7LR46	42720	nan
B0TZQ8	42720	nan
Q14HT5	42720	nan
A7NAC9	42720	nan
Q2A4Z7	42720	nan
B2SF85	42720	nan
A0Q526	42720	nan
Q0BNB8	42720	nan
Q5NGD3	42720	nan
A4IYP4	42720	nan
B8F4C0	42720	nan
Q7VLF2	42720	nan
Q4QKJ2	42720	nan
P45162	42720	nan
Q2SMM1	42720	nan
A1WXX3	42720	nan
C4K7K8	42720	nan
Q0I2R1	42720	nan
Q31HG6	42720	nan
Q5QXK8	42720	nan
B5XSW2	42720	nan
A6TEJ8	42720	nan
Q5X1A0	42720	nan
A5IHX0	42720	nan
Q5ZRT1	42720	nan
Q5WT13	42720	nan
Q65TZ0	42720	nan
A1TXM4	42720	nan
Q607B2	42720	nan
Q3J823	42720	nan
Q9CNJ3	42720	nan
Q6D9B9	42720	nan
C6DKI3	42720	nan
Q7MYY0	42720	nan
Q6LUJ9	42720	nan
B4F2B2	42720	nan
Q48E69	42720	nan
Q15VJ6	42720	nan
A6VCK9	42720	nan
B7V1G4	42720	nan
Q02FS0	42720	nan
P95454	42720	nan
Q1IF51	42720	nan
Q4KIG3	42720	nan
C3K267	42720	nan
A4XYE8	42720	nan
A5W995	42720	nan
Q3KI92	42720	nan
B0KHY6	42720	nan
Q88DV0	42720	nan
B1J262	42720	nan
Q87WP7	42720	nan
Q3IE64	42720	nan
Q4ZNQ4	42720	nan
Q4FQX1	42720	nan
Q1Q955	42720	nan
A1ST38	42720	nan
A5WCU8	42720	nan
A1AW32	42720	nan
Q21H48	42720	nan
B5F6U7	42720	nan
A9MP28	42720	nan
Q57JH1	42720	nan
B5FI23	42720	nan
B5R0H0	42720	nan
B5REP5	42720	nan
B4TJ16	42720	nan
B4T708	42720	nan
Q5PLC1	42720	nan
A9N744	42720	nan
C0PZ62	42720	nan
B5BGK3	42720	nan
B4TWE7	42720	nan
Q8Z3H3	42720	nan
Q8ZLS7	42720	nan
A8G900	42720	nan
A1S454	42720	nan
B8E6M4	42720	nan
A3D7L4	42720	nan
A6WRH7	42720	nan
A9KZX9	42720	nan
Q12QI9	42720	nan
Q086I0	42720	nan
B0TQB0	42720	nan
A3QGV3	42720	nan
Q8EHM3	42720	nan
A8H748	42720	nan
A4Y9C8	42720	nan
B8CKG5	42720	nan
A0KTY8	42720	nan
A8FYS8	42720	nan
Q0HLG9	42720	nan
Q0HXS3	42720	nan
A1RGW7	42720	nan
B1KRR8	42720	nan
B2U1Z8	42720	nan
Q31W56	42720	nan
Q32BF4	42720	nan
Q0T0A5	42720	nan
P0C0S0	42720	nan
Q3YX62	42720	nan
Q2NW30	42720	nan
B4SRA0	42720	nan
B2FKA1	42720	nan
A4VNP3	42720	nan
B8GNX9	42720	nan
C4L8Y1	42720	nan
A5CX75	42720	nan
B7VJI4	42720	nan
A7MZH4	42720	nan
A5F937	42720	nan
Q9KU87	42720	nan
C3LSP1	42720	nan
Q87LZ4	42720	nan
Q8DBW7	42720	nan
Q7MI01	42720	nan
Q8D2X0	42720	nan
Q8PLQ8	42720	nan
Q4UTQ4	42720	nan
B0RTZ3	42720	nan
Q8P9Y1	42720	nan
Q3BUR8	42720	nan
Q2P1M0	42720	nan
B2SUB8	42720	nan
Q5GYL7	42720	nan
B2I696	42720	nan
Q9PH52	42720	nan
B0U1F2	42720	nan
Q87F66	42720	nan
A1JIW2	42720	nan
A7FMS9	42720	nan
Q1CC00	42720	nan
B2K2P8	42720	nan
Q8ZBB5	42720	nan
Q1CEK6	42720	nan
A4TRJ0	42720	nan
Q66F67	42720	nan
B1JMH7	42720	nan
A0KHV5	16497	nan
A4SKI2	16497	nan
Q5DYC3	16497	nan
B5EVS5	16497	nan
C1DPF6	16497	nan
A8AIX5	16497	nan
Q482M9	16497	nan
A7MEZ1	16497	nan
A7ZJM2	16497	nan
B7UM03	16497	nan
B7MGR5	16497	nan
B7LC90	16497	nan
Q8X7W6	16497	nan
B5YS99	16497	nan
B7NNN9	16497	nan
B7MQR1	16497	nan
B7M782	16497	nan
C4ZXX9	16497	nan
B1X7D7	16497	nan
A7ZY64	16497	nan
A1A947	16497	nan
Q0TJP1	16497	nan
Q8FJM4	16497	nan
B1IXG1	16497	nan
