CHEBI	BIGG
chebi:28179	bzmd
chebi:3021	bzmd
chebi:46351	bzmd
chebi:3962	cur
chebi:23575	dcacoa
chebi:28493	dcacoa
chebi:4348	dcacoa
chebi:61430	dcacoa
chebi:23575	deccoa
chebi:28493	deccoa
chebi:4348	deccoa
chebi:61430	deccoa
chebi:11893	dhcholn
chebi:16390	dhcholn
chebi:1688	dhcholn
chebi:20209	dhcholn
chebi:20210	dhcholn
chebi:4853	escul
chebi:14271	f
chebi:17051	f
chebi:29228	f
chebi:49593	f
chebi:5113	f
chebi:37619	gal__L
chebi:64871	gamm
chebi:64888	gamm
chebi:13109	glu5sa
chebi:17232	glu5sa
chebi:21302	glu5sa
chebi:58066	glu5sa
chebi:6225	glu5sa
chebi:13109	glusemald
chebi:17232	glusemald
chebi:21302	glusemald
chebi:58066	glusemald
chebi:6225	glusemald
chebi:11014	lgt__S
chebi:15694	lgt__S
chebi:18678	lgt__S
chebi:355	lgt__S
chebi:57474	lgt__S
chebi:11014	lgt_s
chebi:15694	lgt_s
chebi:18678	lgt_s
chebi:355	lgt_s
chebi:57474	lgt_s
chebi:143182	M02447
chebi:61953	M02447
chebi:143182	malth
chebi:61953	malth
chebi:143182	malthx
chebi:61953	malthx
chebi:41215	mercpeth
chebi:41218	mercpeth
chebi:6766	mercpeth
chebi:64685	methsel
chebi:72782	CE2122
chebi:72782	mind3ac
chebi:1645	3oocoa
chebi:20175	3oocoa
chebi:28264	3oocoa
chebi:62619	3oocoa
chebi:1645	HC01406
chebi:20175	HC01406
chebi:28264	HC01406
chebi:62619	HC01406
chebi:1645	o3xooctcoa
chebi:20175	o3xooctcoa
chebi:28264	o3xooctcoa
chebi:62619	o3xooctcoa
chebi:14681	occoa
chebi:15533	occoa
chebi:25651	occoa
chebi:41542	occoa
chebi:57386	occoa
chebi:7724	occoa
chebi:14681	octcoa
chebi:15533	octcoa
chebi:25651	octcoa
chebi:41542	octcoa
chebi:57386	octcoa
chebi:7724	octcoa
chebi:153066	HC01434
chebi:44712	HC01434
chebi:58931	HC01434
chebi:7815	HC01434
chebi:153066	osuc
chebi:44712	osuc
chebi:58931	osuc
chebi:7815	osuc
chebi:38255	phptna
chebi:44895	phptna
chebi:44898	phptna
chebi:14820	ppat
chebi:16215	ppat
chebi:26067	ppat
chebi:33462	ppat
chebi:39856	ppat
chebi:44976	ppat
chebi:8154	ppat
chebi:14820	ppt
chebi:16215	ppt
chebi:26067	ppt
chebi:33462	ppt
chebi:39856	ppt
chebi:44976	ppt
chebi:8154	ppt
chebi:14903	ppa
chebi:17272	ppa
chebi:26290	ppa
chebi:26304	ppa
chebi:30768	ppa
chebi:45227	ppa
chebi:8476	ppa
chebi:14903	prpnte
chebi:17272	prpnte
chebi:26290	prpnte
chebi:26304	prpnte
chebi:30768	prpnte
chebi:45227	prpnte
chebi:8476	prpnte
chebi:12718	pser
chebi:15811	pser
chebi:21966	pser
chebi:57524	pser
chebi:7692	pser
chebi:12718	pser__L
chebi:15811	pser__L
chebi:21966	pser__L
chebi:57524	pser__L
chebi:7692	pser__L
chebi:14964	psuri
chebi:17802	psuri
chebi:26364	psuri
chebi:8610	psuri
chebi:14982	pyrimid
chebi:16898	pyrimid
chebi:44847	pyrimid
chebi:8675	pyrimid
chebi:15280	q9
chebi:18160	q9
chebi:27185	q9
chebi:9855	q9
chebi:84424	q9h2
chebi:141669	stp
chebi:30465	teo2
chebi:30477	teo2
chebi:33522	teo2
chebi:15234	tcynt
chebi:18022	tcynt
chebi:24926	tcynt
chebi:26954	tcynt
chebi:26956	tcynt
chebi:29200	tcynt
chebi:45576	tcynt
chebi:9550	tcynt
chebi:15234	thioc
chebi:18022	thioc
chebi:24926	thioc
chebi:26954	thioc
chebi:26956	thioc
chebi:29200	thioc
chebi:45576	thioc
chebi:9550	thioc
chebi:15242	HC01501
chebi:16094	HC01501
chebi:29279	HC01501
chebi:33539	HC01501
chebi:33542	HC01501
chebi:45922	HC01501
chebi:5587	HC01501
chebi:9569	HC01501
chebi:15242	thios
chebi:16094	thios
chebi:29279	thios
chebi:33539	thios
chebi:33542	thios
chebi:45922	thios
chebi:5587	thios
chebi:9569	thios
chebi:15242	tsul
chebi:16094	tsul
chebi:29279	tsul
chebi:33539	tsul
chebi:33542	tsul
chebi:45922	tsul
chebi:5587	tsul
chebi:9569	tsul
chebi:52022	thyochol
chebi:58874	thyochol
chebi:15261	tma
chebi:18139	tma
chebi:27125	tma
chebi:27127	tma
chebi:58389	tma
chebi:9732	tma
chebi:15261	tmam
chebi:18139	tmam
chebi:27125	tmam
chebi:27127	tmam
chebi:58389	tmam
chebi:9732	tmam
chebi:19337	tnt
chebi:46051	tnt
chebi:46053	tnt
chebi:62466	ttclyco
chebi:89499	udca3s
chebi:144787	CE6230
chebi:144863	CE6230
chebi:146292	CE6230
chebi:12635	fgam
chebi:147286	fgam
chebi:18272	fgam
chebi:1982	fgam
chebi:20498	fgam
chebi:58426	fgam
chebi:11474	fpram
chebi:147287	fpram
chebi:18413	fpram
chebi:58478	fpram
chebi:971	fpram
chebi:13420	ppi
chebi:18361	ppi
chebi:29888	ppi
chebi:33017	ppi
chebi:33018	ppi
chebi:33019	ppi
chebi:42009	ppi
chebi:45067	ppi
chebi:45208	ppi
chebi:45212	ppi
chebi:8683	ppi
chebi:35940	C03958
chebi:8584	C03958
chebi:9585	C03958
chebi:13455	uacgala
chebi:13470	uacgala
chebi:16650	uacgala
chebi:22112	uacgala
chebi:46285	uacgala
chebi:57847	uacgala
chebi:67138	uacgala
chebi:67168	uacgala
chebi:9820	uacgala
chebi:13455	udpacgal
chebi:13470	udpacgal
chebi:16650	udpacgal
chebi:22112	udpacgal
chebi:46285	udpacgal
chebi:57847	udpacgal
chebi:67138	udpacgal
chebi:67168	udpacgal
chebi:9820	udpacgal
chebi:19806	2425dhvitd3
chebi:28818	2425dhvitd3
chebi:47128	2425dhvitd3
chebi:9072	2425dhvitd3
chebi:23898	ecto__L
chebi:27592	ecto__L
chebi:4756	ecto__L
chebi:49406	ecto__L
chebi:58515	ecto__L
chebi:63475	ecto__L
chebi:70712	M01141
chebi:84650	M01141
chebi:70712	td5coa
chebi:84650	td5coa
chebi:48701	M00978
chebi:63838	M00978
chebi:70819	ivcrn
chebi:73025	ivcrn
chebi:11596	2hglut
chebi:1160	2hglut
chebi:17084	2hglut
chebi:36149	2hglut
chebi:11596	2hog
chebi:1160	2hog
chebi:17084	2hog
chebi:36149	2hog
chebi:11596	2hydog
chebi:1160	2hydog
chebi:17084	2hydog
chebi:36149	2hydog
chebi:13103	HC00832
chebi:17617	HC00832
chebi:21295	HC00832
chebi:58208	HC00832
chebi:6219	HC00832
chebi:13103	fcl__L
chebi:17617	fcl__L
chebi:21295	fcl__L
chebi:58208	fcl__L
chebi:6219	fcl__L
chebi:13103	fuc
chebi:17617	fuc
chebi:21295	fuc
chebi:58208	fuc
chebi:6219	fuc
chebi:87698	M01191
chebi:88008	M01191
chebi:87698	hd7coa
chebi:88008	hd7coa
chebi:87698	hexde7coa
chebi:88008	hexde7coa
chebi:13457	uacmam
chebi:13474	uacmam
chebi:16287	uacmam
chebi:22116	uacmam
chebi:57715	uacmam
chebi:68623	uacmam
chebi:68678	uacmam
chebi:9824	uacmam
chebi:13457	udpacmana
chebi:13474	udpacmana
chebi:16287	udpacmana
chebi:22116	udpacmana
chebi:57715	udpacmana
chebi:68623	udpacmana
chebi:68678	udpacmana
chebi:9824	udpacmana
chebi:22360	oxyp
chebi:2603	oxyp
chebi:28315	oxyp
chebi:2479	agdpcbi
chebi:60487	agdpcbi
chebi:12527	rnam
chebi:15927	rnam
chebi:21786	rnam
chebi:47589	rnam
chebi:7337	rnam
chebi:13341	gmp
chebi:14381	gmp
chebi:17345	gmp
chebi:24449	gmp
chebi:24450	gmp
chebi:40119	gmp
chebi:42647	gmp
chebi:42831	gmp
chebi:42887	gmp
chebi:42979	gmp
chebi:47450	gmp
chebi:5228	gmp
chebi:58115	gmp
chebi:11612	2mahmp
chebi:1194	2mahmp
chebi:11953	2mahmp
chebi:16629	2mahmp
chebi:19684	2mahmp
chebi:20308	2mahmp
chebi:57841	2mahmp
chebi:77085	hexdicoa
chebi:77208	hexdicoa
chebi:1496	kdolipid4
chebi:20009	kdolipid4
chebi:27439	kdolipid4
chebi:60364	kdolipid4
chebi:13510	utp
chebi:15713	utp
chebi:27233	utp
chebi:37567	utp
chebi:46397	utp
chebi:46398	utp
chebi:57481	utp
chebi:9850	utp
chebi:12057	imp
chebi:12063	imp
chebi:13372	imp
chebi:13373	imp
chebi:14457	imp
chebi:17202	imp
chebi:19271	imp
chebi:43418	imp
chebi:43475	imp
chebi:43524	imp
chebi:43563	imp
chebi:43611	imp
chebi:47501	imp
chebi:58053	imp
chebi:5849	imp
chebi:133977	HC02200
chebi:42826	HC02200
chebi:8927	HC02200
chebi:11364	mi3456p
chebi:15844	mi3456p
chebi:19194	mi3456p
chebi:57539	mi3456p
chebi:813	mi3456p
chebi:62958	unaga
chebi:62959	unaga
chebi:87705	M01573
chebi:88072	M01573
chebi:76317	sbcoa
chebi:76352	sbcoa
chebi:76292	M00056
chebi:76314	M00056
chebi:76558	M03024
chebi:76904	M03024
chebi:76562	M03014
chebi:76909	M03014
chebi:74308	M01237
chebi:74398	M01237
chebi:76557	3octdece1coa
chebi:76900	3octdece1coa
chebi:76559	M00843
chebi:76905	M00843
chebi:76315	c12dccoa
chebi:76339	c12dccoa
chebi:13745	arbtn
chebi:18157	arbtn
chebi:2499	arbtn
chebi:58396	arbtn
chebi:77548	M00071
chebi:78177	M00071
chebi:74134	M02112
chebi:74149	M02112
chebi:77553	HC10856
chebi:78187	HC10856
chebi:77084	c14dccoa
chebi:77207	c14dccoa
chebi:77551	M00046
chebi:78179	M00046
chebi:87717	M03019
chebi:88086	M03019
chebi:87687	HC10857
chebi:87781	HC10857
chebi:12055	5mta
chebi:12064	5mta
chebi:12771	5mta
chebi:14605	5mta
chebi:17509	5mta
chebi:1966	5mta
chebi:1986	5mta
chebi:20491	5mta
chebi:20494	5mta
chebi:44181	5mta
chebi:176173	CE2304
chebi:176172	CE2306
chebi:87719	M00849
chebi:88090	M00849
chebi:87695	HC10858
chebi:88007	HC10858
chebi:176174	CE2303
chebi:155897	tmdm1
chebi:12727	gp4g
chebi:12730	gp4g
chebi:15883	gp4g
chebi:21999	gp4g
chebi:57553	gp4g
chebi:7876	gp4g
chebi:85470	HC10859
chebi:10786	amet
chebi:10833	amet
chebi:12742	amet
chebi:12757	amet
chebi:12760	amet
chebi:142094	amet
chebi:15414	amet
chebi:22036	amet
chebi:33442	amet
chebi:45607	amet
chebi:527887	amet
chebi:59789	amet
chebi:67040	amet
chebi:8946	amet
chebi:175800	CE2958
chebi:11362	mi1456p
chebi:16067	mi1456p
chebi:57627	mi1456p
chebi:811	mi1456p
chebi:52325	CE2246
chebi:71456	CE2246
chebi:76375	CE2246
chebi:76459	CE2246
chebi:52325	M00860
chebi:71456	M00860
chebi:76375	M00860
chebi:76459	M00860
chebi:11684	CE2754
